      Step     Time          Energy          fmax
FIRE:   23 13:41:03     -526.439392        1.355241
FIRE:   24 13:41:03     -527.235352        1.350730
FIRE:   25 13:41:04     -528.007202        1.190849
FIRE:   26 13:41:04     -528.674805        1.244229
FIRE:   27 13:41:04     -529.286377        1.246414
FIRE:   28 13:41:05     -529.878235        1.232078
FIRE:   29 13:41:05     -530.469482        1.292127
FIRE:   30 13:41:05     -531.063660        1.245923
      Step     Time          Energy          fmax
FIRE:    0 13:41:06     -523.661011        0.722293
FIRE:    1 13:41:07     -523.702759        0.583786
FIRE:    2 13:41:07     -523.759521        0.369444
FIRE:    3 13:41:07     -523.794739        0.166389
FIRE:    4 13:41:08     -523.790588        0.389619
FIRE:    5 13:41:08     -523.792664        0.372974
FIRE:    6 13:41:08     -523.796631        0.340776
FIRE:    7 13:41:09     -523.801758        0.295236
